num_month,cumulative_pct
14,0.3993
13,0.4676
12,0.5216
11,0.5998
10,0.6714
9,0.7504
8,0.8062
7,0.8810
6,0.9085
5,0.9401
4,0.9667
3,0.9792
2,0.9892
1,1.0000
