interest_id,interest_name,avg_rank
41548,"Winter Apparel Shoppers",1.0
42203,"Fitness Activity Tracker Users",4.1
115,"Mens Shoe Shoppers",5.9
48154,"Elite Cycling Gear Shoppers",7.8
171,"Shoe Shoppers",9.4
