interest_id,interest_name,interest_summary,std_pct,max_pr,min_pr,max_date,min_date
131,"Android Fans","Readers of Android news and product reviews.",27.48,75.03,4.84,2018-07-01,2019-03-01
38992,"Oregon Trip Planners","People researching attractions and accommodations in Oregon. These consumers are more likely to spend money on travel and local attractions.",26.87,82.44,2.2,2018-11-01,2019-07-01
150,"TV Junkies","Consumers researching TV listings.",27.16,93.28,10.01,2018-07-01,2019-08-01
23,Techies,"Readers of tech news and gadget reviews.",27.55,86.69,7.92,2018-07-01,2019-08-01
6260,"Blockbuster Movie Fans","Consumers reading reviews of major movie releases.",29.19,60.63,2.26,2018-07-01,2019-08-01
